channelName,subscribers,views,totalVideos,playlistId
Adobe Women's FA Cup,1710,45738,9,UUn6Tr78HWt7xhImtuUTFHhA
Man City,7890000,2184560835,8816,UUkzCjdRMrW2vXLx8mvPVLdQ
West Ham United FC,691000,208628249,3114,UUCNOsmurvpEit9paBOzWtUg
Manchester United Foundation,113000,12130876,589,UUSoH-gNtz_ENvl8xJCic6QA
Special1HD,171000,42229516,44,UUtxY7t6au19lRff2zZjyZnA
Chelsea Football Club,5590000,1449213073,6451,UUU2PacFf99vhb3hNiYDmxww
Arsenal,4380000,1356587080,4019,UUpryVRk_VDudG8SHXgWcG0w
EliteTv,8310,2249850,3,UUcdtVik2ltz_jzqERfufgFw
Liverpool FC,10700000,3115968946,7460,UU9LQwHZoucFT94I2h6JOcjw
EFL,540000,142821443,3635,UUCmo_NIuQR5eU4AvBa6sEQQ
