video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,publishDayName,durationSecs,tagsCount,likeRatio,commentRatio,titleLength
I7sF-lA41dg,Special1HD,LIVERPOOL VS ARSENAL | AN EPIC 8 GOAL THRILLER AT ANFIELD | 2008/9,"LIVERPOOL VS ARSENAL | AN EPIC 8 GOAL THRILLER AT ANFIELD !! 2008/9

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#liverpool#arsenal",[],2024-10-09T15:53:33Z,22505,277,0,20,PT8M14S,hd,false,Wednesday,494.0,0,0.012308375916463008,0.0008886914019106865,66
qVpxP8XDul4,Special1HD,MAN CITY VS MAN UNITED | A GAME OF EPIC COMEBACK | 2017/18,"MAN CITY VS MAN UNITED | A GAME OF EPIC COMEBACK | 2018/19
The Most Entertaining Game Under Jose Mourinho at Manchester United !!
The Day José Mourinho's Man United made an EPIC Comeback against Pep's Man City !!

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#manunited#mourinho","['MAN CITY VS MAN UNITED 2018', 'manchester city vs manchester united 2-3 2018', 'manchester united vs manchester city']",2024-10-06T12:31:27Z,24266,250,0,8,PT12M56S,hd,false,Sunday,776.0,3,0.010302480837385643,0.00032967938679634055,58
v79MEJGQKCk,Special1HD,Manchester United Road to PL VICTORY 2006/7 !!,"Manchester United Road to PL VICTORY 2006/7 !!

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#manunited#manunited#football 

Manchester United, Man United, Manchester United 2006/7, Manchester United road to victory, Manchester United 2006 PL, Ronaldo goals Manchester united, man united 2006/7, Sir Alex Ferguson , Man United Victory, Man united 2006/7 games, Ronaldo 2006/7, Ronaldo Ballon d'Or","['Manchester United', 'Man United', 'Manchester United 2006/7', 'Manchester United road to victory', 'Manchester United 2006 PL', 'Ronaldo goals Manchester united', 'man united 2006/7', 'Sir Alex Ferguson', 'Man United Victory', 'Man united 2006/7 games', 'Ronaldo 2006/7', ""Ronaldo Ballon d'Or""]",2024-09-07T16:11:33Z,479995,5889,0,212,PT32M28S,hd,false,Saturday,1948.0,12,0.012268877800810426,0.0004416712674090355,46
yGF52wQKIZk,Special1HD,Spain Road to WORLD CUP 2010 Victory !!,"SPAIN Road to WORLD CUP 2010 Victory !!

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#spain#spain2010","['spain', 'spain world cup 2010', 'spain world cup 2010 final', 'spain vs netherlands', 'iniesta goal vs netherlands', 'spain 2010 world cup final', 'spain 2010 team', 'spain world cup']",2024-08-24T15:04:56Z,13096,247,0,9,PT9M20S,hd,false,Saturday,560.0,8,0.018860720830788026,0.0006872327428222358,39
1rpF1jDm0zo,Special1HD,Spain Road to EURO 2024 Victory !!,"SPAIN road to EURO 2024 VICTORY !!

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#spain#euro#euro2024",[],2024-08-01T19:29:34Z,1107113,13211,0,520,PT14M58S,hd,false,Thursday,898.0,0,0.011932837930726132,0.0004696900858358632,34
1zP4TmUAVgo,Special1HD,Italy Road to EURO 2020 Victory !!,"Italy Road to EURO 2020 Victory !!

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#italy#euro#euro2020",[],2024-06-30T05:07:04Z,47227,575,0,10,PT14M24S,hd,false,Sunday,864.0,0,0.012175238740550955,0.00021174328244436444,34
TW-88ORzFJs,Special1HD,Portugal vs Wales | Euro 2016 Semi-finals 2016 |,"Portugal vs Wales | Euro 2016 Semi-finals 2016 |

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#ronaldo#bale#portugal",[],2024-06-17T12:57:47Z,9902,120,0,8,PT8M45S,hd,false,Monday,525.0,0,0.012118763886083619,0.0008079175924055746,48
tVHrkRerhiI,Special1HD,Bayern Munich vs Dortmund: Extended Highlights | UCL Final 2013 |,"Bayern Munich vs Dortmund: Extended Highlights | UCL Final 2013 |

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#bayern#dortmund#ucl","['bayern munich', 'dortmund vs bayern ucl final', 'dortmund', 'dortmund vs bayern munich', 'bayern munich vs dortmund', 'ucl final 2013']",2024-06-05T13:33:51Z,73196,1132,0,26,PT10M58S,hd,false,Wednesday,658.0,6,0.015465325974096946,0.00035521066724957646,65
Bj_1GpQtsgI,Special1HD,Arsenal vs Manchester United: Extended Highlights | UCL Semi-Finals 2nd Leg |,"The Day Cristiano Ronaldo Destroyed Arsenal  | UCL Semifinals 2009 

Arsenal vs Manchester United: Extended Highlights | UCL Semi-Finals 2nd Leg | 

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#manunited#ronaldo",[],2024-04-14T11:34:23Z,1267772,15615,0,522,PT10M19S,hd,false,Sunday,619.0,0,0.012316883477470713,0.00041174596063014486,77
sIIu22tJuxs,Special1HD,"Barcelona Road to UCL Victory 2014/15 | Messi, Neymar, Suarez !!","Barcelona Road to UCL Victory 2014/15 | Messi Neymar Suarez !!

🔔 Turn notifications on and you'll never miss a video again!
📲 Subscribe for more HD football videos!

#barca#barcelona#messi",[],2024-04-09T09:05:56Z,2231787,31592,0,650,PT19M50S,hd,false,Tuesday,1190.0,0,0.014155472722083246,0.0002912464316711227,64
